# Format: FirstName,LastName,BirthDate,Gender,Nationality,NotableWorks

Quentin,Tarantino,1963-03-27,M,AMERICAN,"Pulp Fiction, Kill Bill, Once Upon a Time in Hollywood, Reservoir Dogs, Django Unchained, The Hateful Eight, Inglourious Basterds"
Martin,Scorsese,1942-11-17,M,AMERICAN,"Goodfellas, The Irishman, The Departed, Taxi Driver, Raging Bull, The Wolf of Wall Street, Shutter Island"
Kathryn,Bigelow,1951-11-27,F,AMERICAN,"The Hurt Locker, Zero Dark Thirty, Point Break, Detroit, Near Dark, Strange Days, The Weight of Water"
Bong,Joon-ho,1969-09-14,M,KOREAN,"Parasite, Snowpiercer, The Host, Okja, Memories of Murder, Mother, Barking Dogs Never Bite"
Chloé,Zhao,1982-03-31,F,CHINESE,"Nomadland, Eternals, The Rider, Songs My Brothers Taught Me, Da 5 Bloods, The Rider: Breaking the Horse"
Steve,McQueen,1969-10-09,M,BRITISH,"12 Years a Slave, Widows, Small Axe, Shame, Hunger, Mangrove, Red, White and Blue"
Greta,Gerwig,1983-08-04,F,AMERICAN,"Lady Bird, Little Women, Barbie, Frances Ha, Mistress America, White Noise, Nights and Weekends"
Barry,Jenkins,1979-11-19,M,AMERICAN,"Moonlight, If Beale Street Could Talk, The Underground Railroad, Medicine for Melancholy, Dear White People, The Gaze, My Josephine"
Lulu,Wang,1983-02-25,F,CHINESE_AMERICAN,"The Farewell, Posthumous, Expats, Touch, This Is Us (TV), The Dark End of the Street"
Jordan,Peele,1979-02-21,M,AMERICAN,"Get Out, Us, Nope, Keanu, Black Mirror, Key & Peele, Wendell and Wild"
Ryan,Coogler,1986-05-23,M,AMERICAN,"Black Panther, Creed, Fruitvale Station, Black Panther: Wakanda Forever, Creed II, The Wood, Space Jam: A New Legacy"
Céline,Sciamma,1978-11-12,F,FRENCH,"Portrait of a Lady on Fire, Tomboy, Petite Maman, Water Lilies, Girlhood, My Life as a Zucchini, Bande de filles"
Alfonso,Cuarón,1961-11-28,M,MEXICAN,"Gravity, Roma, Children of Men, Y Tu Mamá También, Harry Potter and the Prisoner of Azkaban, Great Expectations, A Little Princess"
